track_id,track_name,duration,primary_artists,language,track_url,track_image,download_url,spotify_track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Ixh3WBY5,"Haan Main Galat (From ""Love Aaj Kal"")",218,"Pritam, Arijit Singh, Shashwat Singh",hindi,https://www.jiosaavn.com/song/haan-main-galat-from-love-aaj-kal/ORADAiNybgY,https://c.saavncdn.com/205/Haan-Main-Galat-From-Love-Aaj-Kal--Hindi-2020-20200128113239-150x150.jpg,https://aac.saavncdn.com/205/32d8728d6dc9f6ee7e00a3d28c46d4a3_320.mp4,068HSvCf5MbQfhV4qqaelg,0.0997,0.685,218644,0.736,0.0112,0,0.101,-5.656,1,0.0521,117.979,4,0.893
st2Dycrf,"Gerua (From ""Dilwale"")",346,"Pritam, Arijit Singh, Antara Mitra",hindi,https://www.jiosaavn.com/song/gerua-from-dilwale/AxxZdQ1TRVU,https://c.saavncdn.com/821/Dilwale-Hindi-2015-150x150.jpg,https://aac.saavncdn.com/297/dad9acba2583499814db9224aabb9105_320.mp4,7iLA6PQeQWRjLDHOJgGpj5,0.636,0.371,345559,0.668,2e-06,11,0.294,-7.269,0,0.0497,87.458,4,0.403
cWjC2ttw,"Hawayein (From ""Jab Harry Met Sejal"")",289,"Pritam, Arijit Singh",hindi,https://www.jiosaavn.com/song/hawayein-from-jab-harry-met-sejal/Ez8BckZEQ0Q,https://c.saavncdn.com/260/Hawayein-From-Jab-Harry-Met-Sejal--Hindi-201720170726112607-150x150.jpg,https://aac.saavncdn.com/260/037d0d80f91b370853b7d46a8ea74f3a_320.mp4,6871FKHumiy1Wfr6vF7Xxt,0.796,0.606,289999,0.601,0.000511,2,0.127,-5.576,1,0.0283,125.961,4,0.453
7-80uT2b,Kabhi Jo Baadal Barse,255,"Sharib Sabri, Toshi, Arijit Singh",hindi,https://www.jiosaavn.com/song/kabhi-jo-baadal-barse/R0VTAQFkBVE,https://c.saavncdn.com/151/Jackpot-2013-150x150.jpg,https://aac.saavncdn.com/151/98c60a124032ef442fd890cc2fdae7c7_320.mp4,2dOWkdPfiT9SU2Wm734Rh6,0.261,0.451,254300,0.449,0.0,0,0.143,-6.702,0,0.0293,149.768,4,0.217
HVgIjvhR,Intezaar,267,Mithoon,hindi,https://www.jiosaavn.com/song/intezaar/OD4MeB5GX2E,https://c.saavncdn.com/473/Intezaar-Hindi-2019-20191104230803-150x150.jpg,https://aac.saavncdn.com/473/1bcea4211dc8f42d8695b1bc1285f743_320.mp4,3biaPFlL0upAErW12lElBD,0.643,0.467,267520,0.464,0.0,2,0.067,-7.732,1,0.0459,118.942,4,0.145
tD4RoIPl,Aaj Se Teri,312,Arijit Singh,hindi,https://www.jiosaavn.com/song/aaj-se-teri/BCxfYxt5Z18,https://c.saavncdn.com/816/Padman-Hindi-2017-20171226-150x150.jpg,https://aac.saavncdn.com/816/62b40faae7aae7e1d145a1e817c75567_320.mp4,4ws4fIFJDtQAjNQ53KYVl2,0.589,0.708,312240,0.567,1.01e-06,9,0.178,-5.703,1,0.0338,79.992,4,0.862
lx4SrGzP,Raat Bhar,326,"Sajid-Wajid, Arijit Singh, Shreya Ghoshal",hindi,https://www.jiosaavn.com/song/raat-bhar/HBBfYgZ3TWM,https://c.saavncdn.com/930/Heropanti-2014-150x150.jpg,https://aac.saavncdn.com/930/cb50bc5c7de7db75cfcc8f72be41e10f_320.mp4,3ctaMit7CuiHIPVYrRvm15,0.0173,0.619,325582,0.88,0.00104,1,0.166,-4.549,0,0.0535,129.969,4,0.392
pN_vcOt5,Bolna,213,"Tanishk Bagchi, Arijit Singh, Asees Kaur",hindi,https://www.jiosaavn.com/song/bolna/ACY0Rxd-QwY,https://c.saavncdn.com/331/Kapoor-Sons-Since-1921-Hindi-2016-150x150.jpg,https://aac.saavncdn.com/331/ca4c0939a440341fafe6356633fc5f25_320.mp4,3GrCQPpKqKzOcKfMAoqn82,0.598,0.488,212832,0.403,4.28e-06,5,0.434,-7.005,1,0.0272,131.489,3,0.497
SWu3cDHH,Tose Naina,264,"Hanif Sheikh, Arijit Singh",hindi,https://www.jiosaavn.com/song/tose-naina/Iz8eAhd0f3s,https://c.saavncdn.com/530/Mickey-Virus-2013-150x150.jpg,https://aac.saavncdn.com/530/0bf9c93fa6ad726982ac2a090a3deb31_320.mp4,2dPUug9YiNL4ypu8UF8SnD,0.426,0.523,263549,0.561,0.0,4,0.109,-6.474,1,0.0329,139.885,4,0.31
HrzRGNij,Teri Meri Kahaani,331,"Arijit Singh, Palak Muchhal",hindi,"https://www.jiosaavn.com/song/teri-meri-kahaani/OBoRYzN,Xlk",https://c.saavncdn.com/007/Gabbar-Is-Back-Hindi-2018-20180522-150x150.jpg,https://aac.saavncdn.com/007/8d035542ca6f59067641167576136e42_320.mp4,5ftyuvT3jQotZvo6sJnyce,0.625,0.721,155156,0.623,5.04e-05,4,0.302,-7.759,1,0.031,95.985,4,0.407
ADCXZNFb,Aayat,261,"Arijit Singh, Mujtaba Aziz Naza, Farhan Sabri, Altamash Faridi",hindi,"https://www.jiosaavn.com/song/aayat/MSwoaS5,cVE",https://c.saavncdn.com/324/Bajirao-Mastani-Hindi-2015-20221012235736-150x150.jpg,https://aac.saavncdn.com/324/dc2be6cb7404d0fff0f5dbbbe96da597_320.mp4,50GmaFojK3FrXVCCJGkuYb,0.23,0.411,209677,0.418,6.18e-06,2,0.401,-11.046,1,0.0375,92.253,4,0.152
d9KBZn66,Palat - Tera Hero Idhar Hai,271,"Sajid-Wajid, Arijit Singh",hindi,https://www.jiosaavn.com/song/palat---tera-hero-idhar-hai/FFEgcy5eAQU,https://c.saavncdn.com/700/Main-Tera-Hero-2014-150x150.jpg,https://aac.saavncdn.com/700/759e72dda467a3dcac85a59f07c692e0_320.mp4,0dTjGvzVRsvUjM9jJVWEDK,0.132,0.411,270676,0.729,0.0,9,0.177,-4.738,0,0.0983,96.053,3,0.498
SFcIeUeu,How Does It Feel,166,"Chloe, Chris Brown",english,https://www.jiosaavn.com/song/how-does-it-feel/Iy4IeBFlUkY,https://c.saavncdn.com/161/How-Does-It-Feel-English-2023-20230220233726-150x150.jpg,https://aac.saavncdn.com/161/f9a4a354a9e6af5d4a8c993ec0808668_320.mp4,0ixyLzNaPr7G2Fu5ETgssB,0.208,0.575,166623,0.738,0.0,8,0.153,-3.65,1,0.0712,82.609,4,0.391
Hpd68_cZ,Die For You (Remix),232,"The Weeknd, Ariana Grande",english,https://www.jiosaavn.com/song/die-for-you-remix/OBgPB0xvVGk,https://c.saavncdn.com/917/Die-For-You-Remix-English-2023-20230224103729-150x150.jpg,https://aac.saavncdn.com/917/bccf4567807397c797e6a8df2b27543f_320.mp4,7oDd86yk8itslrA9HRP2ki,0.232,0.531,232857,0.525,0.0,1,0.441,-6.5,0,0.0671,66.9,4,0.502
JFEcTo84,Private Landing (feat. Justin Bieber &amp; Future),238,Don Toliver,english,https://www.jiosaavn.com/song/private-landing-feat.-justin-bieber--future/Oi4uUiBfDwc,https://c.saavncdn.com/893/Love-Sick-English-2023-20230225063159-150x150.jpg,https://aac.saavncdn.com/893/db5ae29cc12248136c7947c5dbac3a49_320.mp4,52NGJPcLUzQq5w7uv4e5gf,0.0846,0.843,238253,0.669,1.28e-05,1,0.105,-4.105,0,0.0639,136.979,4,0.435
XvTf9nI-,CUFF IT (WETTER REMIX),249,Beyoncé,english,https://www.jiosaavn.com/song/cuff-it-wetter-remix/KB4-V01efh4,https://c.saavncdn.com/100/CUFF-IT-English-2023-20230208103125-150x150.jpg,https://aac.saavncdn.com/100/04c81f817c872717492f5e86dde92a84_320.mp4,7eQpbVg3tjHmtdOlAHxaTr,0.434,0.66,249407,0.688,0.0,7,0.489,-6.34,1,0.0564,118.05,4,0.65
E6ejWf4c,Special (feat. SZA),174,Lizzo,english,https://www.jiosaavn.com/song/special-feat.-sza/NV4OWyNWA1A,https://c.saavncdn.com/074/Special-feat-SZA-English-2023-20230207225050-150x150.jpg,https://aac.saavncdn.com/074/6402fa525f9b99acdda57ba95542c42b_320.mp4,0rc1HCVoReqzzXF9jssqZk,0.0188,0.464,174749,0.724,0.0,7,0.679,-5.019,1,0.0705,82.526,4,0.303
3GbiY0f0,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),197,Rihanna,english,https://www.jiosaavn.com/song/lift-me-up-from-black-panther%3a-wakanda-forever---music-from-and-inspired-by/Qy8JWC0AUQM,https://c.saavncdn.com/233/Lift-Me-Up-From-Black-Panther-Wakanda-Forever-Music-From-and-Inspired-By-English-2022-20221028113220-150x150.jpg,https://aac.saavncdn.com/233/d64e16ba1056fe338e92f68c5b71f811_320.mp4,35ovElsgyAtQwYPYnZJECg,0.899,0.247,196520,0.299,0.0,9,0.131,-6.083,1,0.0315,177.115,4,0.172
TJPuootC,"Nothing Is Lost (You Give Me Strength) (From ""Avatar: The Way of Water""/Soundtrack Version)",269,The Weeknd,english,https://www.jiosaavn.com/song/nothing-is-lost-you-give-me-strength-from-avatar%3a-the-way-of-water%2fsoundtrack-version/JCI7RBtfQ3A,https://c.saavncdn.com/298/Avatar-The-Way-of-Water-English-2022-20221215013138-150x150.jpg,https://aac.saavncdn.com/298/19fdf68deef809702ba17bf03aafdaae_320.mp4,6FgxTDBTtxMYSUSmbChZEv,0.957,0.727,106667,0.0647,0.651,2,0.119,-15.796,0,0.0499,125.892,4,0.226
IdPVeji6,Slow Motion (feat. Wizkid),168,Don Toliver,english,https://www.jiosaavn.com/song/slow-motion-feat.-wizkid/OQw7ZxFaXgU,https://c.saavncdn.com/893/Love-Sick-English-2023-20230225063159-150x150.jpg,https://aac.saavncdn.com/893/74cac2d542cb97ad49ea0cc0c72bd8ed_320.mp4,1OdxQvBNOgCDE3SyqoEDha,0.41,0.5,168627,0.738,3.97e-06,1,0.223,-4.477,0,0.417,185.577,4,0.433
-rOl7-qJ,Bad Habit,232,Steve Lacy,english,https://www.jiosaavn.com/song/bad-habit/XRokXUMdRnk,https://c.saavncdn.com/940/Bad-Habit-English-2022-20220627223745-150x150.jpg,https://aac.saavncdn.com/940/044f233ab5ec1b7756d49bd96e4f511d_320.mp4,5CM4UuQ9Gnd6K2YyKGPMoK,0.626,0.686,232115,0.507,7.51e-05,1,0.383,-7.097,1,0.0357,168.955,4,0.69
1goBNuLp,Do You Mind,140,"Vedo, Chris Brown",english,https://www.jiosaavn.com/song/do-you-mind/QQ8EczpFe0M,https://c.saavncdn.com/010/Do-You-Mind-English-2023-20221229032901-150x150.jpg,https://aac.saavncdn.com/010/f445fe25758ac8ae66e576bab43e054c_320.mp4,5bGNmiFJqhIlMP8fbQUu4E,0.014,0.776,159400,0.548,3.74e-06,1,0.0402,-6.531,1,0.0425,96.502,4,0.715
nfKbPVjV,Hours In Silence,399,"Drake, 21 Savage",english,https://www.jiosaavn.com/song/hours-in-silence/Hg4gUyRmXWU,https://c.saavncdn.com/180/Her-Loss-English-2022-20221104103657-150x150.jpg,https://aac.saavncdn.com/180/66d320ebe8435fbab918d1f9341fad1b_320.mp4,0sSRLXxknVTQDStgU1NqpY,0.234,0.501,399154,0.403,0.0,6,0.267,-11.106,0,0.119,118.352,4,0.111
w7S9vKaO,Still Life (with Anderson .Paak),175,Rm,korean,https://www.jiosaavn.com/song/still-life-with-anderson-.paak/B184CAJ7Vnw,https://c.saavncdn.com/438/Indigo-Korean-2022-20221202103610-150x150.jpg,https://aac.saavncdn.com/438/3828e98cbc60a65d615810e37d5328eb_320.mp4,3p4N6mBFv42M8dI8SUoPre,0.277,0.831,175329,0.721,0.0,11,0.0403,-5.447,0,0.164,124.007,4,0.443
VrJ_EqlQ,"Careful (From The Original Motion Picture ""Magic Mike's Last Dance"")",192,Lucky Daye,english,https://www.jiosaavn.com/song/careful-from-the-original-motion-picture-magic-mikes-last-dance/JhohbjFBW2I,https://c.saavncdn.com/134/Careful-From-The-Original-Motion-Picture-Magic-Mike-s-Last-Dance-English-2023-20230130233505-150x150.jpg,https://aac.saavncdn.com/134/ff9031c974d99fcc31af6f9ffc998dec_320.mp4,5VRVc5Cq5MbKJG5llJ8XvH,0.0114,0.703,192787,0.537,0.0013,1,0.274,-8.69,1,0.0311,101.959,4,0.148
YFLsPeT5,Born Again,213,Rihanna,english,https://www.jiosaavn.com/song/born-again/KS4nQiRVYwY,https://c.saavncdn.com/847/Black-Panther-Wakanda-Forever-Music-From-and-Inspired-By-English-2022-20221110054336-150x150.jpg,https://aac.saavncdn.com/847/be9f8f04db272bc661a28ef9fcabc009_320.mp4,18zQTt3ifDv6iLni2YuXMg,0.475,0.465,213333,0.26,0.0,0,0.138,-8.179,0,0.031,116.642,4,0.259
YjzsvNhW,I Wish you Roses,219,Kali Uchis,english,"https://www.jiosaavn.com/song/i-wish-you-roses/KQIRQgJ,X2Q",https://c.saavncdn.com/168/I-Wish-you-Roses-English-2023-20230120034606-150x150.jpg,https://aac.saavncdn.com/168/0b2dac740bea658a61308127b0427382_320.mp4,6BQrmjAgPfPTwILoFEK3Hd,0.143,0.467,225947,0.624,0.000899,10,0.145,-8.511,0,0.0508,141.889,4,0.31
9-LUC-nk,Nobody Gets Me,181,SZA,english,https://www.jiosaavn.com/song/nobody-gets-me/SUUnZDcdWVg,https://c.saavncdn.com/931/SOS-English-2022-20221206123612-150x150.jpg,https://aac.saavncdn.com/931/a475cdd30182f303f6c28ba9be94a56d_320.mp4,5Y35SjAfXjjG0sFQ3KOxmm,0.805,0.358,180853,0.284,0.0,7,0.183,-8.285,1,0.0285,99.796,3,0.276
